Part Number,Description,PriceEa,ValidFrom
yf6asrtc3,"6"" assort C3 yung feng (fancy) 1 ea 12  w/2 fuses",34.96,1/01/2015
hq6assort,"6"" assort HQ 1 ea of 9 w/big silver tail w/2 fuses",24.38,1/01/2015
yf6assT1,"6"" assort T1 yung feng (fancy) 1 ea 12  w/2 fuses",31.22,1/01/2015
yf6assT2,"6"" assort T2 yung feng (fancy) 1 ea 12  w/2 fuses",36.27,1/01/2015
yf6assT3,"6"" assort T3 yung feng (fancy) 1 ea 12  w/2 fuses",34.93,1/01/2015
ld6asrtcfi,"6"" assortment lidu 1 ea 9 types",22.27,1/01/2015
ld8asrt,"8"" assorted peonies w/tail",46.16,1/01/2015
yy8assrta,"8"" assortment A (fancy), 1 ea of 6, some w/tail, w/2 fuses",47.48,1/01/2015
yy8assrtb,"8"" assortment B (fancy), 1 ea of 6, some w/tail, w/2 fuses",48.14,1/01/2015
yf8assort,"8"" assortment YungFeng A thru R (fancy), 1 ea of 4 w/2 fuses",57.08,1/01/2015
yf8asrtc1,"8"" assortment YungFeng C1 (fancy), 1 ea of 4 w/2 fuses",57.81,1/01/2015
yf8asrtc2,"8"" assortment YungFeng C2 (fancy), 1 ea of 4 w/2 fuses",55.92,1/01/2015
yf8asrtc3,"8"" assortment YungFeng C3 (fancy), 1 ea of 4 w/2 fuses",59.56,1/01/2015
yf8asrtc4,"8"" assortment YungFeng C4 (fancy), 1 ea of 4 w/2 fuses",59.34,1/01/2015
yf8asrtc5,"8"" assortment YungFeng C5 (fancy), 1 ea of 4 w/2 fuses",52.52,1/01/2015
yf8asrtc6,"8"" assortment YungFeng C6 (fancy), 1 ea of 4 w/2 fuses",58.76,1/01/2015
yf8assT1,"8"" assortment YungFeng T1 (fancy), 1 ea of 4 w/2 fuses",54.28,1/01/2015
yf8assT2,"8"" assortment YungFeng T2 (fancy), 1 ea of 4 w/2 fuses",59.14,1/01/2015
yf8assT3,"8"" assortment YungFeng T3 (fancy), 1 ea of 4 w/2 fuses",54.07,1/01/2015
yf8assT4,"8"" assortment YungFeng T4 (fancy), 1 ea of 4 w/2 fuses",54.12,1/01/2015
yf8assT5,"8"" assortment YungFeng T5 (fancy), 1 ea of 4 w/2 fuses",53.65,1/01/2015
yf8assT6,"8"" assortment YungFeng T6 (fancy), 1 ea of 4 w/2 fuses",52.1,1/01/2015
sn10assrt,"10"" assorted Sunny 10"" shells",96.4,1/01/2015
hq25q02-120,"2.5"" salute, dark (no ti), extra loud, w/2 fuses",2.59,1/01/2015
hq25q02-96,"2.5"" salute, dark (no ti), extra loud, w/2 fuses",2.22,1/01/2015
hq25gb,"2.5"" salute, dark -ground bomb, no delay, no lift, short fuse",3.63,1/01/2015
hq25q01-120,"2.5"" salute, ti, extra loud, w/2 fuses",2.23,1/01/2015
hq25q01-96,"2.5"" salute, ti, extra loud, w/2 fuses",2.51,1/01/2015
js3t01/hq3p03,"3"" salute dark, extra loud (no ti, no tail)",3.26,1/01/2015
js3t02/hq3p02,"3"" salute ti, extra loud",3.13,1/01/2015
js3Ngb,"3"" salute, dark - ground bomb, NO delay, no lift, short fuse",3.74,1/01/2015
jx3gb,"3"" salute, dark-ground bomb w/3sec delay, no lift, short fuse",4.03,1/01/2015
hx3t18,"3"" salute, ti w/silver tail",3.42,1/01/2015
wh3t01,"3"" salute, ti, shell of shells cylinder",7.14,1/01/2015
js4ngb,"4"" salute, ground bomb, dark (no ti), no delay, no lift",9.46,1/01/2015
hx4t19,"4"" salute, ti w/silver tail (ball)",6.35,1/01/2015
hq4q06,"4"" salute, ti, extra loud (ball)",6.88,1/01/2015
hq4q07,"4"" salute, ti, extra loud (cylinder)",10.03,1/01/2015
hq25chn1,"2.5"" chain 10 all dark salutes (no titanium)",2.37,1/01/2015
hq25chn2,"2.5"" chain 10 ti salutes w/big silver tails (""titanium chrys"")",2.18,1/01/2015
hq3chn11,"3"" chain 10 salute dark (no ti, no tail) (""crackling"")",3.55,1/01/2015
js3chn10,"3"" chain 10 ti salutes w/big silver tail (""silver flowers"")",3.48,1/01/2015
ld300,"3"" chain of 8 ti salutes w/big silver tails",3.62,1/01/2015
hq4chn2,"4"" chain 8 dark salutes (no ti, no tail)",5.59,1/01/2015
hq25chn4,"2.5"" chain 10 rainbow peonies + salutes w/big silver tail",2.19,1/01/2015
hq3chn4,"3"" chain 10 rainbow peonies & ti salutes(sil flwrs) w/big silver tails",3.24,1/01/2015
js3chn13,"3"" chain 10 red, white, blue peonies & salutes w/big silver tail",3.47,1/01/2015
hq25chn3,"2.5"" chain 10 rainbow peonies w/big silver tails",2.46,1/01/2015
js3chn3,"3"" chain 10 brcd crwn w/magenta pist & mag pe (5&5) w/big brcd tl",4.34,1/01/2015
js3chn8,"3"" chain 10 brocade crown w/red strobe pistil w/big brocade tail",4.62,1/01/2015
js3chn6,"3"" chain 10 brocade crown waterfallsl w/big brocade tail",4.06,1/01/2015
yf3d06,"3"" chain 10 crackling nishiki kamuro niagra falls",5.64,1/01/2015
js3chn2,"3"" chain 10 multicolor to crackling w/big brocade tail",3.1,1/01/2015
yf3k08,"3"" chain 10 nishiki kamuro niagra falls",5.42,1/01/2015
js3chn15,"3"" chain 10 rainbow peonies w/big silver tails",3.65,1/01/2015
js3chn9,"3"" chain 10 silver crown w/green strobe pistil w/big silver tails",3.97,1/01/2015
ld3f-z1,"3"" chain of 12 asrtd color shells w/tails",3.47,1/01/2015
hq4chn5,"4"" chain 8 brocace crown w/green strobing pistil w/big sil tl",7.58,1/01/2015
yf4b04,"4"" chain 8 crackling nishiki kamuro niagra falls",11.65,1/01/2015
hq4chn4,"4"" chain 8 crackling willow w/red strobing pistil",5.53,1/01/2015
yf4b03,"4"" chain 8 nishiki kamuro niagra falls",10.77,1/01/2015
hq4chn1,"4"" chain 8 rainbow peonies w/big silver tails",6.54,1/01/2015
hq4chn3,"4"" chain 8 silver crown w/green strobe pistil w/big silver tail",7.85,1/01/2015
ld49041c,"4"" chain of 4, assorted color peonies",5.49,1/01/2015
ld49041b,"4"" chain of 6, RWB peonies w/large comet tails",5.51,1/01/2015
hx25t05,"2.5"" blue peony w/crackling chrys pistil",2.42,1/01/2015
hx25t02,"2.5"" chrys to blue",2.49,1/01/2015
ld25k01,"2.5"" comet crackling",4.33,1/01/2015
ld25k03,"2.5"" comet gold glittering (gold brocade)",4.13,1/01/2015
yf25b05,"2.5"" comet green strobing",5.36,1/01/2015
yf25e13,"2.5"" comet nishiki kamuro",5.27,1/01/2015
yf25k02,"2.5"" comet purple strobing",5.46,1/01/2015
yf25b03,"2.5"" comet red strobing",5.49,1/01/2015
ld25k02,"2.5"" comet silver",3.83,1/01/2015
ld25k04,"2.5"" comet white glitter",4,1/01/2015
yf25e11,"2.5"" comet white strobing",5.26,1/01/2015
yf25e12,"2.5"" comet yellow strobing",5.22,1/01/2015
yf25n01,"2.5"" crackling nishiki kamuro niagra falls",3.57,1/01/2015
yf25t10,"2.5"" goldwave to purple chrys",3.64,1/01/2015
hx25t06,"2.5"" green peony w/crackling chrys pistil",2.4,1/01/2015
hq25p04,"2.5"" mine blue stars",5.27,1/01/2015
hq25p05,"2.5"" mine brocade crown stars",5.2,1/01/2015
csp2501,"2.5"" mine deep (blood) red",4.19,1/01/2015
hq25p07,"2.5"" mine glitter crackling",5.39,1/01/2015
yf25e09,"2.5"" mine glittering silver to blue",5.31,1/01/2015
yf25e08,"2.5"" mine glittering silver to green",5.38,1/01/2015
yf25e10,"2.5"" mine glittering silver to purple",5.27,1/01/2015
yf25e02,"2.5"" mine green strobing",5.13,1/01/2015
hq25p09,"2.5"" mine machine gun salutes",5.2,1/01/2015
hq25p06,"2.5"" mine multicolor (magenta,lemon,aqua,orange)",5.52,1/01/2015
hq25p01,"2.5"" mine multicolor stars",5.13,1/01/2015
yf25e05,"2.5"" mine nishiki kamuro niagra falls",5.73,1/01/2015
hq25p02,"2.5"" mine red stars",5.03,1/01/2015
yf25e01,"2.5"" mine red strobing",5.16,1/01/2015
hq25p08,"2.5"" mine silver strobe",5.51,1/01/2015
hq25p03,"2.5"" mine white stars",5.37,1/01/2015
yf25e03,"2.5"" mine white strobing",5.09,1/01/2015
yf25k01,"2.5"" nishiki kamuro niagra falls",3.2,1/01/2015
hx25t04,"2.5"" purple peony w/crackling chrys pistil",2.42,1/01/2015
yf25t09,"2.5"" red gamboge to crackling chrys",3.54,1/01/2015
hx25t03,"2.5"" red peony w/crackling chrys pistil",2.38,1/01/2015
yf25t01,"2.5"" reddish gamboge to blue chrys",3.1,1/01/2015
csp2502,"2.5"" silver crown",3.57,1/01/2015
hx25t10,"2.5"" sky blue peony w/white strobe pistil",2.45,1/01/2015
hx25t12,"2.5"" time rain willow",2.22,1/01/2015
hx3t31,"3"" blue chrys",3.18,1/01/2015
hx3t33,"3"" blue cycas",3.25,1/01/2015
hx3t06,"3"" blue peony",2.9,1/01/2015
hx3t34,"3"" brocade crown to silver strobe",3.54,1/01/2015
hx3t29,"3"" chrys to white strobe",3.08,1/01/2015
ld3k01,"3"" comet crackling",5.15,1/01/2015
jx3c22,"3"" comet gold glittering",3.47,1/01/2015
yf3p14,"3"" comet golden strobing tiger tail 232-235",5.29,1/01/2015
yf3e01,"3"" comet green strobing 251-254 5-7",5,1/01/2015
yf3d04,"3"" comet multicolor strobing 8-11",5.05,1/01/2015
yf3d03,"3"" comet nishiki kamuro",5.35,1/01/2015
yf3b03,"3"" comet red strobing 224-227 1-4",4.94,1/01/2015
ld3c01a,"3"" comet white glittering",5.41,1/01/2015
yf3c01,"3"" comet white strobing 211",5.69,1/01/2015
sn3230,"3"" comet, red palm tiger tail",3.47,1/01/2015
hx3t15,"3"" crackling brocade crown",3.39,1/01/2015
yf3m05,"3"" crackling coconut 258",4.82,1/01/2015
yf3c32,"3"" crackling nishiki kamuro niagra falls 12-21",5.45,1/01/2015
yf3k06,"3"" crackling nishiki kamuro w/crackling pistil",3.41,1/01/2015
sn39327,"3"" dahlia cylinder",3.53,1/01/2015
ld3001,"3"" dragon eggs w/tail",2.86,1/01/2015
hq3p07,"3"" fireflower (tourbillions) cylinder w/multicolor pistil",5.68,1/01/2015
hq3p08,"3"" fireflower (tourbillions) cylinder w/special green strobe pistil",6.51,1/01/2015
hq3p20,"3"" fresh color dahlia (magenta,lemon,aqua,orange stars)",3.53,1/01/2015
ld3049,"3"" gold flashing willow w/brocade tail",2.94,1/01/2015
sn3422,"3"" gold wave to silver chrys",2.85,1/01/2015
yf3n01,"3"" gold willow",4.81,1/01/2015
hx3t05,"3"" golden glittering willow",3.19,1/01/2015
hx3t01,"3"" golden spangle chrys to blue",3.17,1/01/2015
hx3t19,"3"" golden willow to blue",2.98,1/01/2015
hx3t12,"3"" goldwave to red ring",3.29,1/01/2015
hx3t08,"3"" green glittering waterfall",3.12,1/01/2015
hx3t10,"3"" green peony",3.19,1/01/2015
hx3t03,"3"" magenta dahlia",3.47,1/01/2015
hx3t02,"3"" magenta peony",3.17,1/01/2015
eb006,"3"" mine (70mm), 6-shot batterie, green stars (18sec)",38.25,1/01/2015
hq3p06,"3"" mine cylinder - blue stars",4.94,1/01/2015
hq3p04,"3"" mine cylinder - red stars",5.46,1/01/2015
hq3p05,"3"" mine cylinder - white stars",5.29,1/01/2015
hq3p12,"3"" mine cylinder - white strobing stars",5.33,1/01/2015
hq301,"3"" mine cylinder color chrys w/thousand reports",5.11,1/01/2015
hq3m03,"3"" mine cylinder color flower ball (crklng) up to color flower ball (crklng)",5.24,1/01/2015
hq3m04,"3"" mine cylinder color silver dragons",4.9,1/01/2015
hq307,"3"" mine cylinder color to big crackling rain",5.89,1/01/2015
hq3m02,"3"" mine cylinder gold rain crossette",4.89,1/01/2015
hq3m01,"3"" mine cylinder green & gold glittering",5.36,1/01/2015
hq3m13,"3"" mine cylinder green strobe to yellow crossettes",5,1/01/2015
hq302,"3"" mine cylinder machine gun",5.08,1/01/2015
hq306,"3"" mine cylinder multicolor crossettes",5.37,1/01/2015
hq305,"3"" mine cylinder special multicolor strobe",5.53,1/01/2015
hq303,"3"" mine cylinder whistles w/red tips",5.85,1/01/2015
hq304,"3"" mine cylinder white strobe to red crossette",5.96,1/01/2015
ld3081,"3"" mine gold crackling",5.45,1/01/2015
ld30grn,"3"" mine green strobe",5.18,1/01/2015
hw01,"3"" mine howard ground mine",21.91,1/01/2015
hw02,"3"" mine howard prismatic jewel mine",22.55,1/01/2015
yf3e02,"3"" mine multicolor strobing",5.01,1/01/2015
ld3017,"3"" mine thundering tourbillion cylinder",4.73,1/01/2015
sn3421,"3"" mine twinkling kamuro",5.23,1/01/2015
hq312,"3"" mine whistles cylinder to big report",6.96,1/01/2015
wh3t02,"3"" mine, whistles",7.25,1/01/2015
yf3p01,"3"" multicolor (variegated) dahlia 212-213",4.54,1/01/2015
hq3p13,"3"" multicolor dahlia w/white strobe pistil",3.05,1/01/2015
hq3p01,"3"" multicolor falling leaves w/blue stars pistil",3.5,1/01/2015
hq3p22,"3"" multicolor fish",3.57,1/01/2015
hx3t11,"3"" multicolor peony",3.03,1/01/2015
hq3p10,"3"" multicolor peony w/silver strobe pistil",3.05,1/01/2015
hx3t23,"3"" nightsnow",3.14,1/01/2015
hx3t04,"3"" nightsnow to lemon",3.4,1/01/2015
hx3t38,"3"" nightsnow w/green strobe pistil",3.18,1/01/2015
yf3a05,"3"" nishiki kamuro niagra falls 237-240",5.21,1/01/2015
yf3k07,"3"" nishiki kamuro to crackling flowers",3.67,1/01/2015
hx3t26,"3"" orange strobe mine",2.98,1/01/2015
wh3n01,"3"" peach (magenta) w/6 whistles cylinder",7.85,1/01/2015
wh3t03,"3"" pink & green wave chrys",3.74,1/01/2015
hq3p09,"3"" pink, seablue & lemon dahlia w/silver strobe pistil",3.2,1/01/2015
hx3t20,"3"" purple dahlia w/white strobe pistil",3,1/01/2015
hx3t22,"3"" purple peony w/green pistil",2.87,1/01/2015
hx3t37,"3"" purple wave crossette",3.14,1/01/2015
hx3t13,"3"" red flower wave ring w/yellow pistil",3.33,1/01/2015
hx3t09,"3"" red glittering waterfall",2.9,1/01/2015
hx3t35,"3"" red glittering willow",2.99,1/01/2015
hx3t25,"3"" red peony",3.08,1/01/2015
hq3q03,"3"" red special strobing peony",4.1,1/01/2015
wh3t04,"3"" red strobing willow",3.95,1/01/2015
hx3t28,"3"" red to white strobe peony",3.34,1/01/2015
hx3t36,"3"" seablue (aqua) peony",3.14,1/01/2015
ld3007a,"3"" silver chrys",2.74,1/01/2015
hx3t17,"3"" silver crackling coconut",3.33,1/01/2015
ld3037,"3"" silver diadem",2.93,1/01/2015
hq3p21,"3"" silver fish",3.16,1/01/2015
ld3054a,"3"" silver spider",3.47,1/01/2015
hx3t14,"3"" silver wave",3.15,1/01/2015
hx3t16,"3"" smile face",2.86,1/01/2015
hq3t01,"3"" time rain crackling willow waterfall",3.67,1/01/2015
hx3t07,"3"" time rain willow",2.93,1/01/2015
hx3t24,"3"" violet peony",2.86,1/01/2015
hq3q04,"3"" white bright peony",2.98,1/01/2015
ld3145,"3"" white diadem w/tail",3.3,1/01/2015
ld3044,"3"" white flashing dahlia",3.23,1/01/2015
ld3005,"3"" white ring",2.9,1/01/2015
hq3q02,"3"" white special strobing peony",3.08,1/01/2015
hx3t27,"3"" white wave",2.87,1/01/2015
ld3102,"3"" yellow golden big willow",3.19,1/01/2015
yf4p21,"4"" aqua ghost 379",8.93,1/01/2015
wh4n01,"4"" blood red w/silver strobe",6.84,1/01/2015
hq409,"4"" blue and gold big crackling rain tree",10.57,1/01/2015
yf4p08,"4"" blue crackling w/double crackling pisitil 354-356",9.9,1/01/2015
hx4t13,"4"" blue cycas",5.59,1/01/2015
hx4t30,"4"" blue meteor",5.82,1/01/2015
hx4t53,"4"" blue peony",5.33,1/01/2015
yx4n02,"4"" blue peony w/gold palm core",6.5,1/01/2015
hx4t57,"4"" blue sunflower to red w/crackling trunk tail",7.64,1/01/2015
hx4n01,"4"" blue to chrys w/chrys flower pistil",5.76,1/01/2015
wh4t03,"4"" brocade crown",8.55,1/01/2015
sm403,"4"" brocade crown",6.21,1/01/2015
wh4t04,"4"" brocade crown w/tail",8.61,1/01/2015
hx4t34,"4"" brocade crown waterfall to blue",6.42,1/01/2015
hx4t33,"4"" brocade crown waterfall to red",6.19,1/01/2015
hx4t21,"4"" brocade to blue horsetail",5.72,1/01/2015
hx4t43,"4"" brocade waterfall to color change",6.28,1/01/2015
hx4t42,"4"" charcoal crossette",6.07,1/01/2015
hx4t05,"4"" chrys to red",5.71,1/01/2015
hx4t39,"4"" chrys to white strobe",5.79,1/01/2015
csp401,"4"" color moving stars (red & green)",5.56,1/01/2015
yf4p19,"4"" comet - crackling 373-376",8.8,1/01/2015
ls4430,"4"" comet brocade (gold glittering)",6.27,1/01/2015
ls4501,"4"" comet crackling",7.24,1/01/2015
ls4600,"4"" comet white strobe",6.2,1/01/2015
sm402,"4"" crackling brocade crown",6.57,1/01/2015
yf4a26,"4"" crackling nishiki kamuro niagra falls 32-36",11.01,1/01/2015
hx4t16,"4"" dandelion to blue",5.75,1/01/2015
hx4t59,"4"" dandelion to blue w/ trunk tail",7.58,1/01/2015
csp403,"4"" deep (blood) red peony",5.68,1/01/2015
hq4m13,"4"" double rings - green & silver glitter w/green pistil",5.84,1/01/2015
hq4m12,"4"" double rings - red & silver glitter w/red pistil",5.33,1/01/2015
hq4q08,"4"" fireflower (tourbillions) w/multicolor pistil",8.56,1/01/2015
js4n01,"4"" flower crown chrys to red",7.03,1/01/2015
hq4n01,"4"" glittering crackling coconut w/green strobe pistil",7,1/01/2015
hx4t07,"4"" glittering crossette",5.49,1/01/2015
yf4t25,"4"" glittering silver to green chrys",9.51,1/01/2015
yf4t27,"4"" glittering silver to purple chrys",9.59,1/01/2015
yf4p26,"4"" glittering silver to yellow to golden chrys 385",8.99,1/01/2015
hq4p16,"4"" gold coconut w/green strobe pistil",5.71,1/01/2015
hq4m02,"4"" gold flashing ring to sound (salute) ring cylinder",8.4,1/01/2015
hx4t31,"4"" gold spangle crown w/red meteors",5.76,1/01/2015
yf4p06,"4"" gold strobing silk to aqua 352",9.23,1/01/2015
yf4n01,"4"" gold willow",9.54,1/01/2015
hx4t18,"4"" gold willow to blue horse tail",6.34,1/01/2015
ld42222,"4"" golden peony w/crackling pistil w/gold tail",6.17,1/01/2015
hx4t15,"4"" golden spangle crown w/red pistil",6.31,1/01/2015
hx4t55,"4"" golden strobe cycas to red w/golden trunk tail",7.73,1/01/2015
hx4t22,"4"" golden strobe to red w/green pistil",5.8,1/01/2015
hx4t11,"4"" golden to blue crossette",5.88,1/01/2015
hx4t03,"4"" golden to silver crossette",5.62,1/01/2015
js4n04,"4"" goldwave ring w/red pistil",5.69,1/01/2015
yf4t31,"4"" goldwave to red swimming",9.43,1/01/2015
hq4m16,"4"" green bowtie in red ring",5.49,1/01/2015
hx4t26,"4"" green chrys w/coconut pistil w/tail",5.96,1/01/2015
yf4m07,"4"" green chrys w/crackling",9.6,1/01/2015
hx4t20,"4"" green coconut crossette w/chrys pistil",5.5,1/01/2015
hx4t47,"4"" green glittering willow",6.19,1/01/2015
hx4t38,"4"" green strobe willow",5.86,1/01/2015
hx4t10,"4"" green wave crossette",5.45,1/01/2015
hx4t32,"4"" lemon chrys",5.5,1/01/2015
hx4t14,"4"" lemon peony w/purple pistil",5.91,1/01/2015
yx4n01,"4"" lemon peony w/red core",6.25,1/01/2015
jx4fwgcm,"4"" mine fower wave + green crossette",5.51,1/01/2015
yf4t30,"4"" mine goldwave to blue swimming",8.63,1/01/2015
yf4e01,"4"" mine goldwave to green",7.68,1/01/2015
yf4c04,"4"" mine green",8.05,1/01/2015
pw404,"4"" mine green glitter",7.66,1/01/2015
yf4c03,"4"" mine lemon",7.87,1/01/2015
yf4e05,"4"" mine multicolor strobing",7.4,1/01/2015
yf4c06,"4"" mine purple",7.72,1/01/2015
yf4e04,"4"" mine red strobing",7.64,1/01/2015
yf4e03,"4"" mine white strobing",7.79,1/01/2015
hx4t29,"4"" multicolor chrys",5.51,1/01/2015
yf4t33,"4"" multicolor crackling kamuro chrys",8.44,1/01/2015
sm401,"4"" multicolor cycas tree w/big tails",7.09,1/01/2015
hx4t58,"4"" multicolor cycas w/golden trunk tail",7.29,1/01/2015
yf4c36,"4"" multicolor dahlia",9.54,1/01/2015
hq4p08,"4"" multicolor falling leaves w/blue stars",5.78,1/01/2015
hq4p11,"4"" multicolor fish",5.77,1/01/2015
hq4p15,"4"" multicolor moving stars",5.85,1/01/2015
hx4t54,"4"" multicolor palm tree w/brocade trunk tail",7.21,1/01/2015
yf4k11,"4"" multicolor peony 360",9.72,1/01/2015
hq4p03,"4"" multicolor peony w/silver strobe pistil",5.64,1/01/2015
yf4e23,"4"" multicolor strobing willow",8.72,1/01/2015
hx4t27,"4"" nightsnow",5.45,1/01/2015
yf4a05,"4"" nishiki kamuro niagra falls 22-31",10.42,1/01/2015
hx4t28,"4"" pink peony",5.94,1/01/2015
hq4p04,"4"" pink peony w/green pistil",5.62,1/01/2015
hq4m08,"4"" pink, seablue & lemon dahlia w/silver strobe pistil",6.28,1/01/2015
hx4t35,"4"" purple dahlia w/white strobe pistil",5.44,1/01/2015
hx4t37,"4"" purple peony",5.68,1/01/2015
hq4m09,"4"" purple peony",5.64,1/01/2015
wh4t01,"4"" purple peony w/6 crackers & salutes",11.23,1/01/2015
hx4t25,"4"" purple peony w/chrys pistil",5.77,1/01/2015
js4n02,"4"" purple strobe peony w/white strobe pistil",5.56,1/01/2015
hq4q03,"4"" red & blue color mix peony",5.41,1/01/2015
hq4m03,"4"" red & blue double sound (salute) ring cylinder",8.63,1/01/2015
hq4q04,"4"" red & silver special strobe waterfall",7.12,1/01/2015
hx4t40,"4"" red chrys w/silver chrys pistil",5.8,1/01/2015
hx4t51,"4"" red coconut crossette",6.39,1/01/2015
hx4n02,"4"" red coconut crossette w/chrys pistil",5.63,1/01/2015
hx4t23,"4"" red crossette",5.32,1/01/2015
yf4p12,"4"" red cycas blooms (cherry blossom)",9.51,1/01/2015
hx4t45,"4"" red flower",5.45,1/01/2015
hx4t08,"4"" red glittering willow",6,1/01/2015
hq4m15,"4"" red heart pattern",6.18,1/01/2015
js4n06,"4"" red lantern",5.37,1/01/2015
hx4t01,"4"" red meteor w/blue pistil",5.59,1/01/2015
hq4m04,"4"" red peony",5.62,1/01/2015
hx4t50,"4"" red peony",6.18,1/01/2015
hq4p07,"4"" red special strobing peony",7.41,1/01/2015
wh4n02,"4"" red strobe willow (wh4t05)",7.01,1/01/2015
hx4n04,"4"" red to chrys flower - loud",5.92,1/01/2015
hx4t04,"4"" red wave crossette",5.54,1/01/2015
hx4t12,"4"" red wave to silver strobe",5.95,1/01/2015
