ID,Description,Quantity,CostPerItem,Date,,,,,,
js3chn15,"3"" chain 10 rainbow peonies w/big silver tails",238,2.99,8/01/2015,,,,,,
js3chn9,"3"" chain 10 silver crown w/green strobe pistil w/big silver tails",300,3.14,8/01/2015,,,,,,
ld3f-z1,"3"" chain of 12 asrtd color shells w/tails",404,2.43,8/01/2015,,,,,,
hq4chn5,"4"" chain 8 brocace crown w/green strobing pistil w/big sil tl",480,4.4,8/01/2015,,,,,,
yf4b04,"4"" chain 8 crackling nishiki kamuro niagra falls",113,8.39,8/01/2015,,,,,,
hq4chn4,"4"" chain 8 crackling willow w/red strobing pistil",158,3.76,8/01/2015,,,,,,
yf4b03,"4"" chain 8 nishiki kamuro niagra falls",117,8.4,8/01/2015,,,,,,
hq4chn1,"4"" chain 8 rainbow peonies w/big silver tails",96,3.92,8/01/2015,,,,,,
hq4chn3,"4"" chain 8 silver crown w/green strobe pistil w/big silver tail",375,5.65,8/01/2015,,,,,,
ld49041c,"4"" chain of 4, assorted color peonies",158,4.67,8/01/2015,,,,,,
ld49041b,"4"" chain of 6, RWB peonies w/large comet tails",317,2.92,8/01/2015,,,,,,
hx25t05,"2.5"" blue peony w/crackling chrys pistil",496,1.84,8/01/2015,,,,,,
hx25t02,"2.5"" chrys to blue",375,1.84,9/01/2015,,,,,,
ld25k01,"2.5"" comet crackling",183,2.94,9/01/2015,,,,,,
ld25k03,"2.5"" comet gold glittering (gold brocade)",430,2.73,9/01/2015,,,,,,
yf25b05,"2.5"" comet green strobing",54,3.54,9/01/2015,,,,,,
yf25e13,"2.5"" comet nishiki kamuro",338,3.58,9/01/2015,,,,,,
yf25k02,"2.5"" comet purple strobing",384,3.33,9/01/2015,,,,,,
yf25b03,"2.5"" comet red strobing",388,4.39,9/01/2015,,,,,,
ld25k02,"2.5"" comet silver",363,2.53,9/01/2015,,,,,,
ld25k04,"2.5"" comet white glitter",221,3.24,9/01/2015,,,,,,
yf25e11,"2.5"" comet white strobing",79,3.47,9/01/2015,,,,,,
yf25e12,"2.5"" comet yellow strobing",58,3.29,9/01/2015,,,,,,
yf25n01,"2.5"" crackling nishiki kamuro niagra falls",158,2.14,9/01/2015,,,,,,
yf25t10,"2.5"" goldwave to purple chrys",288,3.09,9/01/2015,,,,,,
hx25t06,"2.5"" green peony w/crackling chrys pistil",92,1.51,9/01/2015,,,,,,
hq25p04,"2.5"" mine blue stars",475,3.85,9/01/2015,,,,,,
hq25p05,"2.5"" mine brocade crown stars",234,4.16,10/01/2015,,,,,,
csp2501,"2.5"" mine deep (blood) red",13,2.89,10/01/2015,,,,,,
hq25p07,"2.5"" mine glitter crackling",25,3.56,10/01/2015,,,,,,
yf25e09,"2.5"" mine glittering silver to blue",425,4.14,10/01/2015,,,,,,
yf25e08,"2.5"" mine glittering silver to green",179,3.44,10/01/2015,,,,,,
yf25e10,"2.5"" mine glittering silver to purple",154,4.43,10/01/2015,,,,,,
yf25e02,"2.5"" mine green strobing",505,4.21,10/01/2015,,,,,,
hq25p09,"2.5"" mine machine gun salutes",17,3.12,10/01/2015,,,,,,
hq25p06,"2.5"" mine multicolor (magenta,lemon,aqua,orange)",163,4.36,10/01/2015,,,,,,
hq25p01,"2.5"" mine multicolor stars",46,4.1,10/01/2015,,,,,,
yf25e05,"2.5"" mine nishiki kamuro niagra falls",25,4.24,10/01/2015,,,,,,
hq25p02,"2.5"" mine red stars",254,3.92,10/01/2015,,,,,,
yf25e01,"2.5"" mine red strobing",129,3.1,10/01/2015,,,,,,
hq25p08,"2.5"" mine silver strobe",425,3.8,10/01/2015,,,,,,
hq25p03,"2.5"" mine white stars",359,3.65,10/01/2015,,,,,,
yf25e03,"2.5"" mine white strobing",88,3.05,10/01/2015,,,,,,
yf25k01,"2.5"" nishiki kamuro niagra falls",279,2.14,10/01/2015,,,,,,
hx25t04,"2.5"" purple peony w/crackling chrys pistil",25,1.69,10/01/2015,,,,,,
yf25t09,"2.5"" red gamboge to crackling chrys",321,2.44,10/01/2015,,,,,,
hx25t03,"2.5"" red peony w/crackling chrys pistil",63,1.79,10/01/2015,,,,,,
yf25t01,"2.5"" reddish gamboge to blue chrys",400,2.11,10/01/2015,,,,,,
csp2502,"2.5"" silver crown",413,2.71,10/01/2015,,,,,,
hx25t10,"2.5"" sky blue peony w/white strobe pistil",484,1.59,10/01/2015,,,,,,
hx25t12,"2.5"" time rain willow",413,1.73,10/01/2015,,,,,,
hx3t31,"3"" blue chrys",133,2.19,10/01/2015,,,,,,
hx3t33,"3"" blue cycas",300,2.54,10/01/2015,,,,,,
hx3t06,"3"" blue peony",250,1.77,11/01/2015,,,,,,
hx3t34,"3"" brocade crown to silver strobe",400,2.34,11/01/2015,,,,,,
hx3t29,"3"" chrys to white strobe",79,2.34,11/01/2015,,,,,,
ld3k01,"3"" comet crackling",284,2.73,11/01/2015,,,,,,
jx3c22,"3"" comet gold glittering",179,2.29,11/01/2015,,,,,,
yf3p14,"3"" comet golden strobing tiger tail 232-235",192,3.44,11/01/2015,,,,,,
yf3e01,"3"" comet green strobing 251-254 5-7",292,3.6,11/01/2015,,,,,,
yf3d04,"3"" comet multicolor strobing 8-11",83,2.73,11/01/2015,,,,,,
yf3d03,"3"" comet nishiki kamuro",179,4.17,11/01/2015,,,,,,
yf3b03,"3"" comet red strobing 224-227 1-4",88,3.85,11/01/2015,,,,,,
ld3c01a,"3"" comet white glittering",150,4.17,11/01/2015,,,,,,
yf3c01,"3"" comet white strobing 211",350,3.13,11/01/2015,,,,,,
sn3230,"3"" comet, red palm tiger tail",133,2.74,11/01/2015,,,,,,
hx3t15,"3"" crackling brocade crown",267,2.24,11/01/2015,,,,,,
yf3m05,"3"" crackling coconut 258",467,4,11/01/2015,,,,,,
yf3c32,"3"" crackling nishiki kamuro niagra falls 12-21",50,3.54,11/01/2015,,,,,,
yf3k06,"3"" crackling nishiki kamuro w/crackling pistil",413,2.9,12/01/2015,,,,,,
sn39327,"3"" dahlia cylinder",329,2.12,12/01/2015,,,,,,
ld3001,"3"" dragon eggs w/tail",21,1.94,12/01/2015,,,,,,
hq3p07,"3"" fireflower (tourbillions) cylinder w/multicolor pistil",192,4.77,12/01/2015,,,,,,
hq3p08,"3"" fireflower (tourbillions) cylinder w/special green strobe pistil",484,4.23,12/01/2015,,,,,,
hq3p20,"3"" fresh color dahlia (magenta,lemon,aqua,orange stars)",492,1.84,12/01/2015,,,,,,
ld3049,"3"" gold flashing willow w/brocade tail",463,2.03,12/01/2015,,,,,,
sn3422,"3"" gold wave to silver chrys",150,2.25,12/01/2015,,,,,,
yf3n01,"3"" gold willow",304,3.08,12/01/2015,,,,,,
hx3t05,"3"" golden glittering willow",238,2.49,12/01/2015,,,,,,
hx3t01,"3"" golden spangle chrys to blue",350,2.35,12/01/2015,,,,,,
hx3t19,"3"" golden willow to blue",338,2.29,12/01/2015,,,,,,
hx3t12,"3"" goldwave to red ring",313,2.43,12/01/2015,,,,,,
hx3t08,"3"" green glittering waterfall",267,2.34,12/01/2015,,,,,,
hx3t10,"3"" green peony",455,2.58,12/01/2015,,,,,,
hx3t03,"3"" magenta dahlia",209,1.7,12/01/2015,,,,,,
hx3t02,"3"" magenta peony",229,2.09,12/01/2015,,,,,,
eb006,"3"" mine (70mm), 6-shot batterie, green stars (18sec)",46,30.6,13/01/2015,,,,,,
hq3p06,"3"" mine cylinder - blue stars",125,3.46,13/01/2015,,,,,,
hq3p04,"3"" mine cylinder - red stars",200,4.1,13/01/2015,,,,,,
hq3p05,"3"" mine cylinder - white stars",450,3.33,13/01/2015,,,,,,
hq3p12,"3"" mine cylinder - white strobing stars",317,2.56,13/01/2015,,,,,,
hq301,"3"" mine cylinder color chrys w/thousand reports",325,3.07,13/01/2015,,,,,,
hq3m03,"3"" mine cylinder color flower ball (crklng) up to color flower ball (crklng)",92,3.77,13/01/2015,,,,,,
hq3m04,"3"" mine cylinder color silver dragons",438,3.53,13/01/2015,,,,,,
hq307,"3"" mine cylinder color to big crackling rain",254,4.95,13/01/2015,,,,,,
hq3m02,"3"" mine cylinder gold rain crossette",225,4.11,13/01/2015,,,,,,
hq3m01,"3"" mine cylinder green & gold glittering",129,4.5,13/01/2015,,,,,,
hq3m13,"3"" mine cylinder green strobe to yellow crossettes",42,4.15,13/01/2015,,,,,,
hq302,"3"" mine cylinder machine gun",500,3.66,13/01/2015,,,,,,
hq306,"3"" mine cylinder multicolor crossettes",42,3.06,14/01/2015,,,,,,
hq305,"3"" mine cylinder special multicolor strobe",388,4.2,14/01/2015,,,,,,
hq303,"3"" mine cylinder whistles w/red tips",96,4.56,14/01/2015,,,,,,
hq304,"3"" mine cylinder white strobe to red crossette",196,3.87,14/01/2015,,,,,,
ld3081,"3"" mine gold crackling",209,3.54,14/01/2015,,,,,,
ld30grn,"3"" mine green strobe",400,3.89,14/01/2015,,,,,,
hw01,"3"" mine howard ground mine",42,12.71,14/01/2015,,,,,,
hw02,"3"" mine howard prismatic jewel mine",179,18.49,14/01/2015,,,,,,
yf3e02,"3"" mine multicolor strobing",396,2.96,14/01/2015,,,,,,
ld3017,"3"" mine thundering tourbillion cylinder",167,3.59,14/01/2015,,,,,,
sn3421,"3"" mine twinkling kamuro",221,4.34,14/01/2015,,,,,,
hq312,"3"" mine whistles cylinder to big report",338,5.57,14/01/2015,,,,,,
wh3t02,"3"" mine, whistles",313,3.84,14/01/2015,,,,,,
yf3p01,"3"" multicolor (variegated) dahlia 212-213",300,3.18,14/01/2015,,,,,,
hq3p13,"3"" multicolor dahlia w/white strobe pistil",354,2.01,15/01/2015,,,,,,
hq3p01,"3"" multicolor falling leaves w/blue stars pistil",367,2.45,15/01/2015,,,,,,
hq3p22,"3"" multicolor fish",259,2.18,15/01/2015,,,,,,
hx3t11,"3"" multicolor peony",438,2.27,15/01/2015,,,,,,
hq3p10,"3"" multicolor peony w/silver strobe pistil",371,1.98,15/01/2015,,,,,,
hx3t23,"3"" nightsnow",292,2.29,15/01/2015,,,,,,
hx3t04,"3"" nightsnow to lemon",188,2.82,15/01/2015,,,,,,
hx3t38,"3"" nightsnow w/green strobe pistil",279,2.42,15/01/2015,,,,,,
yf3a05,"3"" nishiki kamuro niagra falls 237-240",254,3.65,15/01/2015,,,,,,
yf3k07,"3"" nishiki kamuro to crackling flowers",254,1.98,16/01/2015,,,,,,
hx3t26,"3"" orange strobe mine",242,2.06,16/01/2015,,,,,,
wh3n01,"3"" peach (magenta) w/6 whistles cylinder",63,4.32,16/01/2015,,,,,,
wh3t03,"3"" pink & green wave chrys",275,2.92,16/01/2015,,,,,,
hq3p09,"3"" pink, seablue & lemon dahlia w/silver strobe pistil",259,2.62,16/01/2015,,,,,,
hx3t20,"3"" purple dahlia w/white strobe pistil",455,1.5,16/01/2015,,,,,,
hx3t22,"3"" purple peony w/green pistil",309,1.87,16/01/2015,,,,,,
hx3t37,"3"" purple wave crossette",246,2.17,16/01/2015,,,,,,
hx3t13,"3"" red flower wave ring w/yellow pistil",71,2.4,16/01/2015,,,,,,
hx3t09,"3"" red glittering waterfall",300,2.06,16/01/2015,,,,,,
hx3t35,"3"" red glittering willow",254,2.09,16/01/2015,,,,,,
hx3t25,"3"" red peony",83,1.66,16/01/2015,,,,,,
hq3q03,"3"" red special strobing peony",175,3.32,16/01/2015,,,,,,
wh3t04,"3"" red strobing willow",425,3.16,16/01/2015,,,,,,
hx3t28,"3"" red to white strobe peony",100,1.6,16/01/2015,,,,,,
hx3t36,"3"" seablue (aqua) peony",150,2.57,16/01/2015,,,,,,
ld3007a,"3"" silver chrys",83,2.08,16/01/2015,,,,,,
hx3t17,"3"" silver crackling coconut",338,2.03,16/01/2015,,,,,,
ld3037,"3"" silver diadem",125,1.93,17/01/2015,,,,,,
hq3p21,"3"" silver fish",329,2.31,17/01/2015,,,,,,
ld3054a,"3"" silver spider",367,2.01,17/01/2015,,,,,,
hx3t14,"3"" silver wave",392,2.02,17/01/2015,,,,,,
hx3t16,"3"" smile face",92,2.29,17/01/2015,,,,,,
hq3t01,"3"" time rain crackling willow waterfall",300,2.61,17/01/2015,,,,,,
hx3t07,"3"" time rain willow",325,2.43,17/01/2015,,,,,,
hx3t24,"3"" violet peony",450,2.35,17/01/2015,,,,,,
hq3q04,"3"" white bright peony",388,1.97,17/01/2015,,,,,,
ld3145,"3"" white diadem w/tail",200,2.31,17/01/2015,,,,,,
ld3044,"3"" white flashing dahlia",204,2.23,17/01/2015,,,,,,
ld3005,"3"" white ring",150,2.29,17/01/2015,,,,,,
hq3q02,"3"" white special strobing peony",100,2.49,17/01/2015,,,,,,
hx3t27,"3"" white wave",117,2.3,17/01/2015,,,,,,
ld3102,"3"" yellow golden big willow",125,2.23,17/01/2015,,,,,,
yf4p21,"4"" aqua ghost 379",379,6.16,17/01/2015,,,,,,
wh4n01,"4"" blood red w/silver strobe",63,5.13,17/01/2015,,,,,,
hq409,"4"" blue and gold big crackling rain tree",108,8.24,17/01/2015,,,,,,
yf4p08,"4"" blue crackling w/double crackling pisitil 354-356",425,7.82,18/01/2015,,,,,,
hx4t13,"4"" blue cycas",188,4.19,18/01/2015,,,,,,
hx4t30,"4"" blue meteor",467,4.83,18/01/2015,,,,,,
hx4t53,"4"" blue peony",492,2.77,18/01/2015,,,,,,
yx4n02,"4"" blue peony w/gold palm core",400,4.16,18/01/2015,,,,,,
hx4t57,"4"" blue sunflower to red w/crackling trunk tail",288,5.2,18/01/2015,,,,,,
hx4n01,"4"" blue to chrys w/chrys flower pistil",430,3.23,18/01/2015,,,,,,
wh4t03,"4"" brocade crown",354,6.33,18/01/2015,,,,,,
sm403,"4"" brocade crown",284,5.15,18/01/2015,,,,,,
wh4t04,"4"" brocade crown w/tail",359,5.34,18/01/2015,,,,,,
hx4t34,"4"" brocade crown waterfall to blue",409,5.14,18/01/2015,,,,,,
hx4t33,"4"" brocade crown waterfall to red",42,5.26,18/01/2015,,,,,,
hx4t21,"4"" brocade to blue horsetail",146,2.97,18/01/2015,,,,,,
hx4t43,"4"" brocade waterfall to color change",300,4.96,18/01/2015,,,,,,
hx4t42,"4"" charcoal crossette",463,4.61,18/01/2015,,,,,,
hx4t05,"4"" chrys to red",417,3.6,18/01/2015,,,,,,
hx4t39,"4"" chrys to white strobe",88,3.94,18/01/2015,,,,,,
csp401,"4"" color moving stars (red & green)",150,3.84,19/01/2015,,,,,,
yf4p19,"4"" comet - crackling 373-376",296,6.95,19/01/2015,,,,,,
ls4430,"4"" comet brocade (gold glittering)",379,5.2,19/01/2015,,,,,,
ls4501,"4"" comet crackling",317,5,19/01/2015,,,,,,
ls4600,"4"" comet white strobe",371,3.66,19/01/2015,,,,,,
sm402,"4"" crackling brocade crown",317,5.52,19/01/2015,,,,,,
yf4a26,"4"" crackling nishiki kamuro niagra falls 32-36",284,9.14,19/01/2015,,,,,,
hx4t16,"4"" dandelion to blue",505,4.6,19/01/2015,,,,,,
hx4t59,"4"" dandelion to blue w/ trunk tail",192,5.46,19/01/2015,,,,,,
csp403,"4"" deep (blood) red peony",392,4.77,19/01/2015,,,,,,
hq4m13,"4"" double rings - green & silver glitter w/green pistil",192,4.09,19/01/2015,,,,,,
hq4m12,"4"" double rings - red & silver glitter w/red pistil",50,3.52,19/01/2015,,,,,,
hq4q08,"4"" fireflower (tourbillions) w/multicolor pistil",471,5.22,19/01/2015,,,,,,
js4n01,"4"" flower crown chrys to red",250,4.57,20/01/2015,,,,,,
hq4n01,"4"" glittering crackling coconut w/green strobe pistil",317,4.76,20/01/2015,,,,,,
hx4t07,"4"" glittering crossette",225,3.73,20/01/2015,,,,,,
yf4t25,"4"" glittering silver to green chrys",209,7.61,20/01/2015,,,,,,
yf4t27,"4"" glittering silver to purple chrys",146,6.9,20/01/2015,,,,,,
yf4p26,"4"" glittering silver to yellow to golden chrys 385",321,7.37,20/01/2015,,,,,,
hq4p16,"4"" gold coconut w/green strobe pistil",488,2.8,20/01/2015,,,,,,
