Part Number,DESCRIPTION,PriceEa,ValidFrom
yf5asrtc2,"5"" ASSORTMENT C2 (FANCY), YUNG FENG, 1 EA OF 24 W/2 FULESES",18.57,1/01/2015
ld5asrtcfi,"5"" ASSORTMENT LIDU (18 SHELLS) VARIOUS FANCY SHELLS",14.39,1/01/2015
yf5assT,"5"" ASSORTMENT T (FANCY), YUNG FENG, 1 EA OF 24 W/2 FULESES",19.92,1/01/2015
yy6assrta,"6"" ASSORT A FANCY, 1 EA OF 9, SOME W/ TAIL, W/2 FULESES",24.27,1/01/2015
yf6assorta,"6"" ASSORT A YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",32.78,1/01/2015
yy6assrtb,"6"" ASSORT B FANCY, 1 EA OF 9, SOME W/ TAIL, W/2 FULESES",22.02,1/01/2015
yf6assortb,"6"" ASSORT B YUNG FENG (FANCY) 1 EA 12 W/2 FULESES",34.76,1/01/2015
yf6asrtc1,"6"" ASSORT C1 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",33.64,1/01/2015
yf6asrtc2,"6"" ASSORT C2 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",32.63,1/01/2015
yf6asrtc3,"6"" ASSORT C3 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",34.96,1/01/2015
hq6assort,"6"" ASSORT HQ 1 EA OF 9 W/BIG SILVER TAIL W/2 FULESES",24.38,1/01/2015
yf6assT1,"6"" ASSORT T1 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",31.22,1/01/2015
yf6assT2,"6"" ASSORT T2 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",36.27,1/01/2015
yf6assT3,"6"" ASSORT T3 YUNG FENG (FANCY) 1 EA 12  W/2 FULESES",34.93,1/01/2015
ld6asrtcfi,"6"" ASSORTMENT LIDU 1 EA 9 TYPES",22.27,1/01/2015
ld8asrt,"8"" ASSORTED PEONIES W/TAIL",46.16,1/01/2015
yy8assrta,"8"" ASSORTMENT A (FANCY), 1 EA OF 6, SOME W/TAIL, W/2 FULESES",47.48,1/01/2015
yy8assrtb,"8"" ASSORTMENT B (FANCY), 1 EA OF 6, SOME W/TAIL, W/2 FULESES",48.14,1/01/2015
yf8assort,"8"" ASSORTMENT YUNGFENG A THRU R (FANCY), 1 EA OF 4 W/2 FULESES",57.08,1/01/2015
yf8asrtc1,"8"" ASSORTMENT YUNGFENG C1 (FANCY), 1 EA OF 4 W/2 FULESES",57.81,1/01/2015
yf8asrtc2,"8"" ASSORTMENT YUNGFENG C2 (FANCY), 1 EA OF 4 W/2 FULESES",55.92,1/01/2015
yf8asrtc3,"8"" ASSORTMENT YUNGFENG C3 (FANCY), 1 EA OF 4 W/2 FULESES",59.56,1/01/2015
yf8asrtc4,"8"" ASSORTMENT YUNGFENG C4 (FANCY), 1 EA OF 4 W/2 FULESES",59.34,1/01/2015
yf8asrtc5,"8"" ASSORTMENT YUNGFENG C5 (FANCY), 1 EA OF 4 W/2 FULESES",52.52,1/01/2015
yf8asrtc6,"8"" ASSORTMENT YUNGFENG C6 (FANCY), 1 EA OF 4 W/2 FULESES",58.76,1/01/2015
yf8assT1,"8"" ASSORTMENT YUNGFENG T1 (FANCY), 1 EA OF 4 W/2 FULESES",54.28,1/01/2015
yf8assT2,"8"" ASSORTMENT YUNGFENG T2 (FANCY), 1 EA OF 4 W/2 FULESES",59.14,1/01/2015
yf8assT3,"8"" ASSORTMENT YUNGFENG T3 (FANCY), 1 EA OF 4 W/2 FULESES",54.07,1/01/2015
yf8assT4,"8"" ASSORTMENT YUNGFENG T4 (FANCY), 1 EA OF 4 W/2 FULESES",54.12,1/01/2015
yf8assT5,"8"" ASSORTMENT YUNGFENG T5 (FANCY), 1 EA OF 4 W/2 FULESES",53.65,1/01/2015
yf8assT6,"8"" ASSORTMENT YUNGFENG T6 (FANCY), 1 EA OF 4 W/2 FULESES",52.1,1/01/2015
sn10assrt,"10"" ASSORTED SUNNY 10"" SHELLS",96.4,1/01/2015
hq25q02-120,"2.5"" SALUTE, DARK (NO TI), EXTRA LOUD, W/2 FULESES",2.59,1/01/2015
hq25q02-96,"2.5"" SALUTE, DARK (NO TI), EXTRA LOUD, W/2 FULESES",2.22,1/01/2015
hq25gb,"2.5"" SALUTE, DARK -GROUND BOMB, NO DELAY, NO LIFT, SHORT FULESE",3.63,1/01/2015
hq25q01-120,"2.5"" SALUTE, TI, EXTRA LOUD, W/2 FULESES",2.23,1/01/2015
hq25q01-96,"2.5"" SALUTE, TI, EXTRA LOUD, W/2 FULESES",2.51,1/01/2015
js3t01/hq3p03,"3"" SALUTE DARK, EXTRA LOUD (NO TI, NO TAIL)",3.26,1/01/2015
js3t02/hq3p02,"3"" SALUTE TI, EXTRA LOUD",3.13,1/01/2015
js3Ngb,"3"" SALUTE, DARK - GROUND BOMB, NO DELAY, NO LIFT, SHORT FULESE",3.74,1/01/2015
jx3gb,"3"" SALUTE, DARK-GROUND BOMB W/3SEC DELAY, NO LIFT, SHORT FULESE",4.03,1/01/2015
hx3t18,"3"" SALUTE, TI W/SILVER TAIL",3.42,1/01/2015
wh3t01,"3"" SALUTE, TI, SHELL OF SHELLS CYLINDER",7.14,1/01/2015
js4ngb,"4"" SALUTE, GROUND BOMB, DARK (NO TI), NO DELAY, NO LIFT",9.46,1/01/2015
hx4t19,"4"" SALUTE, TI W/SILVER TAIL (BALL)",6.35,1/01/2015
hq4q06,"4"" SALUTE, TI, EXTRA LOUD (BALL)",6.88,1/01/2015
hq4q07,"4"" SALUTE, TI, EXTRA LOUD (CYLINDER)",10.03,1/01/2015
hq25chn1,"2.5"" CHAIN 10 ALL DARK SALUTES (NO TITANIUM)",2.37,1/01/2015
hq25chn2,"2.5"" CHAIN 10 TI SALUTES W/BIG SILVER TAILS (""TITANIUM CHRYS"")",2.18,1/01/2015
hq3chn11,"3"" CHAIN 10 SALUTE DARK (NO TI, NO TAIL) (""CRACKLING"")",3.55,1/01/2015
js3chn10,"3"" CHAIN 10 TI SALUTES W/BIG SILVER TAIL (""SILVER FLOWERS"")",3.48,1/01/2015
ld300,"3"" CHAIN OF 8 TI SALUTES W/BIG SILVER TAILS",3.62,1/01/2015
hq4chn2,"4"" CHAIN 8 DARK SALUTES (NO TI, NO TAIL)",5.59,1/01/2015
hq25chn4,"2.5"" CHAIN 10 RAINBOW PEONIES + SALUTES W/BIG SILVER TAIL",2.19,1/01/2015
hq3chn4,"3"" CHAIN 10 RAINBOW PEONIES & TI SALUTES(SIL FLWRS) W/BIG SILVER TAILS",3.24,1/01/2015
js3chn13,"3"" CHAIN 10 RED, WHITE, BLUE PEONIES & SALUTES W/BIG SILVER TAIL",3.47,1/01/2015
hq25chn3,"2.5"" CHAIN 10 RAINBOW PEONIES W/BIG SILVER TAILS",2.46,1/01/2015
js3chn3,"3"" CHAIN 10 BRCD CRWN W/MAGENTA PIST & MAG PE (5&5) W/BIG BRCD TL",4.34,1/01/2015
js3chn8,"3"" CHAIN 10 BROCADE CROWN W/RED STROBE PISTIL W/BIG BROCADE TAIL",4.62,1/01/2015
js3chn6,"3"" CHAIN 10 BROCADE CROWN WATERFALLSL W/BIG BROCADE TAIL",4.06,1/01/2015
yf3d06,"3"" CHAIN 10 CRACKLING NISHIKI KAMURO NIAGRA FALLS",5.64,1/01/2015
js3chn2,"3"" CHAIN 10 MULTICOLOR TO CRACKLING W/BIG BROCADE TAIL",3.1,1/01/2015
yf3k08,"3"" CHAIN 10 NISHIKI KAMURO NIAGRA FALLS",5.42,1/01/2015
js3chn15,"3"" CHAIN 10 RAINBOW PEONIES W/BIG SILVER TAILS",3.65,1/01/2015
js3chn9,"3"" CHAIN 10 SILVER CROWN W/GREEN STROBE PISTIL W/BIG SILVER TAILS",3.97,1/01/2015
ld3f-z1,"3"" CHAIN OF 12 ASRTD COLOR SHELLS W/TAILS",3.47,1/01/2015
hq4chn5,"4"" CHAIN 8 BROCACE CROWN W/GREEN STROBING PISTIL W/BIG SIL TL",7.58,1/01/2015
yf4b04,"4"" CHAIN 8 CRACKLING NISHIKI KAMURO NIAGRA FALLS",11.65,1/01/2015
hq4chn4,"4"" CHAIN 8 CRACKLING WILLOW W/RED STROBING PISTIL",5.53,1/01/2015
yf4b03,"4"" CHAIN 8 NISHIKI KAMURO NIAGRA FALLS",10.77,1/01/2015
hq4chn1,"4"" CHAIN 8 RAINBOW PEONIES W/BIG SILVER TAILS",6.54,1/01/2015
hq4chn3,"4"" CHAIN 8 SILVER CROWN W/GREEN STROBE PISTIL W/BIG SILVER TAIL",7.85,1/01/2015
ld49041c,"4"" CHAIN OF 4, ASSORTED COLOR PEONIES",5.49,1/01/2015
ld49041b,"4"" CHAIN OF 6, RWB PEONIES W/LARGE COMET TAILS",5.51,1/01/2015
hx25t05,"2.5"" BLUE PEONY W/CRACKLING CHRYS PISTIL",2.42,1/01/2015
hx25t02,"2.5"" CHRYS TO BLUE",2.49,1/01/2015
ld25k01,"2.5"" COMET CRACKLING",4.33,1/01/2015
ld25k03,"2.5"" COMET GOLD GLITTERING (GOLD BROCADE)",4.13,1/01/2015
yf25b05,"2.5"" COMET GREEN STROBING",5.36,1/01/2015
yf25e13,"2.5"" COMET NISHIKI KAMURO",5.27,1/01/2015
yf25k02,"2.5"" COMET PURPLE STROBING",5.46,1/01/2015
yf25b03,"2.5"" COMET RED STROBING",5.49,1/01/2015
ld25k02,"2.5"" COMET SILVER",3.83,1/01/2015
ld25k04,"2.5"" COMET WHITE GLITTER",4,1/01/2015
yf25e11,"2.5"" COMET WHITE STROBING",5.26,1/01/2015
yf25e12,"2.5"" COMET YELLOW STROBING",5.22,1/01/2015
yf25n01,"2.5"" CRACKLING NISHIKI KAMURO NIAGRA FALLS",3.57,1/01/2015
yf25t10,"2.5"" GOLDWAVE TO PURPLE CHRYS",3.64,1/01/2015
hx25t06,"2.5"" GREEN PEONY W/CRACKLING CHRYS PISTIL",2.4,1/01/2015
hq25p04,"2.5"" MINE BLUE STARS",5.27,1/01/2015
hq25p05,"2.5"" MINE BROCADE CROWN STARS",5.2,1/01/2015
csp2501,"2.5"" MINE DEEP (BLOOD) RED",4.19,1/01/2015
hq25p07,"2.5"" MINE GLITTER CRACKLING",5.39,1/01/2015
yf25e09,"2.5"" MINE GLITTERING SILVER TO BLUE",5.31,1/01/2015
yf25e08,"2.5"" MINE GLITTERING SILVER TO GREEN",5.38,1/01/2015
yf25e10,"2.5"" MINE GLITTERING SILVER TO PURPLE",5.27,1/01/2015
yf25e02,"2.5"" MINE GREEN STROBING",5.13,1/01/2015
hq25p09,"2.5"" MINE MACHINE GUN SALUTES",5.2,1/01/2015
hq25p06,"2.5"" MINE MULTICOLOR (MAGENTA,LEMON,AQUA,ORANGE)",5.52,1/01/2015
hq25p01,"2.5"" MINE MULTICOLOR STARS",5.13,1/01/2015
yf25e05,"2.5"" MINE NISHIKI KAMURO NIAGRA FALLS",5.73,1/01/2015
hq25p02,"2.5"" MINE RED STARS",5.03,1/01/2015
yf25e01,"2.5"" MINE RED STROBING",5.16,1/01/2015
hq25p08,"2.5"" MINE SILVER STROBE",5.51,1/01/2015
hq25p03,"2.5"" MINE WHITE STARS",5.37,1/01/2015
yf25e03,"2.5"" MINE WHITE STROBING",5.09,1/01/2015
yf25k01,"2.5"" NISHIKI KAMURO NIAGRA FALLS",3.2,1/01/2015
hx25t04,"2.5"" PURPLE PEONY W/CRACKLING CHRYS PISTIL",2.42,1/01/2015
yf25t09,"2.5"" RED GAMBOGE TO CRACKLING CHRYS",3.54,1/01/2015
hx25t03,"2.5"" RED PEONY W/CRACKLING CHRYS PISTIL",2.38,1/01/2015
yf25t01,"2.5"" REDDISH GAMBOGE TO BLUE CHRYS",3.1,1/01/2015
csp2502,"2.5"" SILVER CROWN",3.57,1/01/2015
hx25t10,"2.5"" SKY BLUE PEONY W/WHITE STROBE PISTIL",2.45,1/01/2015
hx25t12,"2.5"" TIME RAIN WILLOW",2.22,1/01/2015
hx3t31,"3"" BLUE CHRYS",3.18,1/01/2015
hx3t33,"3"" BLUE CYCAS",3.25,1/01/2015
hx3t06,"3"" BLUE PEONY",2.9,1/01/2015
hx3t34,"3"" BROCADE CROWN TO SILVER STROBE",3.54,1/01/2015
hx3t29,"3"" CHRYS TO WHITE STROBE",3.08,1/01/2015
ld3k01,"3"" COMET CRACKLING",5.15,1/01/2015
jx3c22,"3"" COMET GOLD GLITTERING",3.47,1/01/2015
yf3p14,"3"" COMET GOLDEN STROBING TIGER TAIL 232-235",5.29,1/01/2015
yf3e01,"3"" COMET GREEN STROBING 251-254 5-7",5,1/01/2015
yf3d04,"3"" COMET MULTICOLOR STROBING 8-11",5.05,1/01/2015
yf3d03,"3"" COMET NISHIKI KAMURO",5.35,1/01/2015
yf3b03,"3"" COMET RED STROBING 224-227 1-4",4.94,1/01/2015
ld3c01a,"3"" COMET WHITE GLITTERING",5.41,1/01/2015
yf3c01,"3"" COMET WHITE STROBING 211",5.69,1/01/2015
sn3230,"3"" COMET, RED PALM TIGER TAIL",3.47,1/01/2015
hx3t15,"3"" CRACKLING BROCADE CROWN",3.39,1/01/2015
yf3m05,"3"" CRACKLING COCONUT 258",4.82,1/01/2015
yf3c32,"3"" CRACKLING NISHIKI KAMURO NIAGRA FALLS 12-21",5.45,1/01/2015
yf3k06,"3"" CRACKLING NISHIKI KAMURO W/CRACKLING PISTIL",3.41,1/01/2015
sn39327,"3"" DAHLIA CYLINDER",3.53,1/01/2015
ld3001,"3"" DRAGON EGGS W/TAIL",2.86,1/01/2015
hq3p07,"3"" FIREFLOWER (TOURBILLIONS) CYLINDER W/MULTICOLOR PISTIL",5.68,1/01/2015
hq3p08,"3"" FIREFLOWER (TOURBILLIONS) CYLINDER W/SPECIAL GREEN STROBE PISTIL",6.51,1/01/2015
hq3p20,"3"" FRESH COLOR DAHLIA (MAGENTA,LEMON,AQUA,ORANGE STARS)",3.53,1/01/2015
ld3049,"3"" GOLD FLASHING WILLOW W/BROCADE TAIL",2.94,1/01/2015
sn3422,"3"" GOLD WAVE TO SILVER CHRYS",2.85,1/01/2015
yf3n01,"3"" GOLD WILLOW",4.81,1/01/2015
hx3t05,"3"" GOLDEN GLITTERING WILLOW",3.19,1/01/2015
hx3t01,"3"" GOLDEN SPANGLE CHRYS TO BLUE",3.17,1/01/2015
hx3t19,"3"" GOLDEN WILLOW TO BLUE",2.98,1/01/2015
hx3t12,"3"" GOLDWAVE TO RED RING",3.29,1/01/2015
hx3t08,"3"" GREEN GLITTERING WATERFALL",3.12,1/01/2015
hx3t10,"3"" GREEN PEONY",3.19,1/01/2015
hx3t03,"3"" MAGENTA DAHLIA",3.47,1/01/2015
hx3t02,"3"" MAGENTA PEONY",3.17,1/01/2015
eb006,"3"" MINE (70MM), 6-SHOT BATTERIE, GREEN STARS (18SEC)",38.25,1/01/2015
hq3p06,"3"" MINE CYLINDER - BLUE STARS",4.94,1/01/2015
hq3p04,"3"" MINE CYLINDER - RED STARS",5.46,1/01/2015
hq3p05,"3"" MINE CYLINDER - WHITE STARS",5.29,1/01/2015
hq3p12,"3"" MINE CYLINDER - WHITE STROBING STARS",5.33,1/01/2015
hq301,"3"" MINE CYLINDER COLOR CHRYS W/THOUSAND REPORTS",5.11,1/01/2015
hq3m03,"3"" MINE CYLINDER COLOR FLOWER BALL (CRKLNG) UP TO COLOR FLOWER BALL (CRKLNG)",5.24,1/01/2015
hq3m04,"3"" MINE CYLINDER COLOR SILVER DRAGONS",4.9,1/01/2015
hq307,"3"" MINE CYLINDER COLOR TO BIG CRACKLING RAIN",5.89,1/01/2015
hq3m02,"3"" MINE CYLINDER GOLD RAIN CROSSETTE",4.89,1/01/2015
hq3m01,"3"" MINE CYLINDER GREEN & GOLD GLITTERING",5.36,1/01/2015
hq3m13,"3"" MINE CYLINDER GREEN STROBE TO YELLOW CROSSETTES",5,1/01/2015
hq302,"3"" MINE CYLINDER MACHINE GUN",5.08,1/01/2015
hq306,"3"" MINE CYLINDER MULTICOLOR CROSSETTES",5.37,1/01/2015
hq305,"3"" MINE CYLINDER SPECIAL MULTICOLOR STROBE",5.53,1/01/2015
hq303,"3"" MINE CYLINDER WHISTLES W/RED TIPS",5.85,1/01/2015
hq304,"3"" MINE CYLINDER WHITE STROBE TO RED CROSSETTE",5.96,1/01/2015
ld3081,"3"" MINE GOLD CRACKLING",5.45,1/01/2015
ld30grn,"3"" MINE GREEN STROBE",5.18,1/01/2015
hw01,"3"" MINE HOWARD GROUND MINE",21.91,1/01/2015
hw02,"3"" MINE HOWARD PRISMATIC JEWEL MINE",22.55,1/01/2015
yf3e02,"3"" MINE MULTICOLOR STROBING",5.01,1/01/2015
ld3017,"3"" MINE THUNDERING TOURBILLION CYLINDER",4.73,1/01/2015
sn3421,"3"" MINE TWINKLING KAMURO",5.23,1/01/2015
hq312,"3"" MINE WHISTLES CYLINDER TO BIG REPORT",6.96,1/01/2015
wh3t02,"3"" MINE, WHISTLES",7.25,1/01/2015
yf3p01,"3"" MULTICOLOR (VARIEGATED) DAHLIA 212-213",4.54,1/01/2015
hq3p13,"3"" MULTICOLOR DAHLIA W/WHITE STROBE PISTIL",3.05,1/01/2015
hq3p01,"3"" MULTICOLOR FALLING LEAVES W/BLUE STARS PISTIL",3.5,1/01/2015
hq3p22,"3"" MULTICOLOR FISH",3.57,1/01/2015
hx3t11,"3"" MULTICOLOR PEONY",3.03,1/01/2015
hq3p10,"3"" MULTICOLOR PEONY W/SILVER STROBE PISTIL",3.05,1/01/2015
hx3t23,"3"" NIGHTSNOW",3.14,1/01/2015
hx3t04,"3"" NIGHTSNOW TO LEMON",3.4,1/01/2015
hx3t38,"3"" NIGHTSNOW W/GREEN STROBE PISTIL",3.18,1/01/2015
yf3a05,"3"" NISHIKI KAMURO NIAGRA FALLS 237-240",5.21,1/01/2015
yf3k07,"3"" NISHIKI KAMURO TO CRACKLING FLOWERS",3.67,1/01/2015
hx3t26,"3"" ORANGE STROBE MINE",2.98,1/01/2015
wh3n01,"3"" PEACH (MAGENTA) W/6 WHISTLES CYLINDER",7.85,1/01/2015
wh3t03,"3"" PINK & GREEN WAVE CHRYS",3.74,1/01/2015
hq3p09,"3"" PINK, SEABLUE & LEMON DAHLIA W/SILVER STROBE PISTIL",3.2,1/01/2015
hx3t20,"3"" PURPLE DAHLIA W/WHITE STROBE PISTIL",3,1/01/2015
hx3t22,"3"" PURPLE PEONY W/GREEN PISTIL",2.87,1/01/2015
hx3t37,"3"" PURPLE WAVE CROSSETTE",3.14,1/01/2015
hx3t13,"3"" RED FLOWER WAVE RING W/YELLOW PISTIL",3.33,1/01/2015
hx3t09,"3"" RED GLITTERING WATERFALL",2.9,1/01/2015
hx3t35,"3"" RED GLITTERING WILLOW",2.99,1/01/2015
hx3t25,"3"" RED PEONY",3.08,1/01/2015
hq3q03,"3"" RED SPECIAL STROBING PEONY",4.1,1/01/2015
wh3t04,"3"" RED STROBING WILLOW",3.95,1/01/2015
hx3t28,"3"" RED TO WHITE STROBE PEONY",3.34,1/01/2015
hx3t36,"3"" SEABLUE (AQUA) PEONY",3.14,1/01/2015
ld3007a,"3"" SILVER CHRYS",2.74,1/01/2015
hx3t17,"3"" SILVER CRACKLING COCONUT",3.33,1/01/2015
ld3037,"3"" SILVER DIADEM",2.93,1/01/2015
hq3p21,"3"" SILVER FISH",3.16,1/01/2015
ld3054a,"3"" SILVER SPIDER",3.47,1/01/2015
hx3t14,"3"" SILVER WAVE",3.15,1/01/2015
hx3t16,"3"" SMILE FACE",2.86,1/01/2015
hq3t01,"3"" TIME RAIN CRACKLING WILLOW WATERFALL",3.67,1/01/2015
hx3t07,"3"" TIME RAIN WILLOW",2.93,1/01/2015
hx3t24,"3"" VIOLET PEONY",2.86,1/01/2015
hq3q04,"3"" WHITE BRIGHT PEONY",2.98,1/01/2015
ld3145,"3"" WHITE DIADEM W/TAIL",3.3,1/01/2015
ld3044,"3"" WHITE FLASHING DAHLIA",3.23,1/01/2015
ld3005,"3"" WHITE RING",2.9,1/01/2015
hq3q02,"3"" WHITE SPECIAL STROBING PEONY",3.08,1/01/2015
hx3t27,"3"" WHITE WAVE",2.87,1/01/2015
ld3102,"3"" YELLOW GOLDEN BIG WILLOW",3.19,1/01/2015
yf4p21,"4"" AQUA GHOST 379",8.93,1/01/2015
wh4n01,"4"" BLOOD RED W/SILVER STROBE",6.84,1/01/2015
hq409,"4"" BLUE AND GOLD BIG CRACKLING RAIN TREE",10.57,1/01/2015
yf4p08,"4"" BLUE CRACKLING W/DOUBLE CRACKLING PISITIL 354-356",9.9,1/01/2015
hx4t13,"4"" BLUE CYCAS",5.59,1/01/2015
hx4t30,"4"" BLUE METEOR",5.82,1/01/2015
hx4t53,"4"" BLUE PEONY",5.33,1/01/2015
yx4n02,"4"" BLUE PEONY W/GOLD PALM CORE",6.5,1/01/2015
hx4t57,"4"" BLUE SUNFLOWER TO RED W/CRACKLING TRUNK TAIL",7.64,1/01/2015
hx4n01,"4"" BLUE TO CHRYS W/CHRYS FLOWER PISTIL",5.76,1/01/2015
wh4t03,"4"" BROCADE CROWN",8.55,1/01/2015
sm403,"4"" BROCADE CROWN",6.21,1/01/2015
wh4t04,"4"" BROCADE CROWN W/TAIL",8.61,1/01/2015
hx4t34,"4"" BROCADE CROWN WATERFALL TO BLUE",6.42,1/01/2015
hx4t33,"4"" BROCADE CROWN WATERFALL TO RED",6.19,1/01/2015
hx4t21,"4"" BROCADE TO BLUE HORSETAIL",5.72,1/01/2015
hx4t43,"4"" BROCADE WATERFALL TO COLOR CHANGE",6.28,1/01/2015
hx4t42,"4"" CHARCOAL CROSSETTE",6.07,1/01/2015
hx4t05,"4"" CHRYS TO RED",5.71,1/01/2015
hx4t39,"4"" CHRYS TO WHITE STROBE",5.79,1/01/2015
csp401,"4"" COLOR MOVING STARS (RED & GREEN)",5.56,1/01/2015
yf4p19,"4"" COMET - CRACKLING 373-376",8.8,1/01/2015
ls4430,"4"" COMET BROCADE (GOLD GLITTERING)",6.27,1/01/2015
ls4501,"4"" COMET CRACKLING",7.24,1/01/2015
ls4600,"4"" COMET WHITE STROBE",6.2,1/01/2015
sm402,"4"" CRACKLING BROCADE CROWN",6.57,1/01/2015
yf4a26,"4"" CRACKLING NISHIKI KAMURO NIAGRA FALLS 32-36",11.01,1/01/2015
hx4t16,"4"" DANDELION TO BLUE",5.75,1/01/2015
hx4t59,"4"" DANDELION TO BLUE W/ TRUNK TAIL",7.58,1/01/2015
csp403,"4"" DEEP (BLOOD) RED PEONY",5.68,1/01/2015
hq4m13,"4"" DOUBLE RINGS - GREEN & SILVER GLITTER W/GREEN PISTIL",5.84,1/01/2015
hq4m12,"4"" DOUBLE RINGS - RED & SILVER GLITTER W/RED PISTIL",5.33,1/01/2015
